Feeder Line,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,,,
HomeSequence,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,1,1,2,3,4,5,6,7,7,8,9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,,,
Total annual consumption(KWH),,,3116,52770,4752,4045,5431,5430,5988,3232,3596,3899,3269,4218,3287,5277,4066,4926,3689,3947,3883,3531,4434,5453,4085,44960,5858,4722,4339,3819,39630,4662,5745,3612,4424,54050,3239,3621,3878,5793,3649,3521,5646,5495,4344,5930,4007,5212,5598,5862,3128,4585,36840,5038,5282,5879,4074,5315,4989,41450,,5282,3719,3043,3160,4819,5985,5835,3229,5611,4437,3368,3123,4196,3197,4375,3716,,4395,52210,5378,5907,3548,4476,3398,4945,5923,3101,5085,3101,4918,5991,5554,3374,,3936,4965,4440,4615,4105,3892,3658,,,
Peak Production Capacity (KWH),9.36,79.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,9.54,,,,,,,,,,,,,,,,,14.4,,,,,,,,,Total Production,Total Consumption
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00,0,0,0.3,3.8,0.4,0.3,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.4,0.3,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.4,3.2,0.5,0.4,0.4,0.3,2.8,0.4,0.5,0.3,0.4,3.9,0.3,0.3,0.3,0.5,0.3,0.3,0.5,0.5,0.4,0.5,0.3,0.4,0.5,0.5,0.3,0.4,2.6,0.4,0.5,0.5,0.4,0.5,0.4,3,0,0.5,0.3,0.3,0.3,0.4,0.5,0.5,0.3,0.5,0.4,0.3,0.3,0.4,0.3,0.4,0.3,0,0.4,3.7,0.5,0.5,0.3,0.4,0.3,0.4,0.5,0.3,0.4,0.3,0.4,0.5,0.5,0.3,0,0.3,0.4,0.4,0.4,0.4,0.3,0.3,,0,57.9
0:15,0,0,0.2,3.6,0.4,0.3,0.4,0.4,0.5,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,3.1,0.5,0.4,0.3,0.3,2.7,0.4,0.4,0.3,0.3,3.7,0.2,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.3,0.4,0.4,0.5,0.2,0.4,2.5,0.4,0.4,0.5,0.3,0.4,0.4,2.9,0,0.4,0.3,0.2,0.2,0.4,0.5,0.4,0.2,0.4,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0,0.3,3.6,0.4,0.5,0.3,0.3,0.3,0.4,0.5,0.2,0.4,0.2,0.4,0.5,0.4,0.3,0,0.3,0.4,0.3,0.4,0.3,0.3,0.3,,0,52.8
0:30,0,0,0.2,3.5,0.3,0.3,0.4,0.4,0.4,0.2,0.2,0.3,0.2,0.3,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.3,3,0.4,0.3,0.3,0.3,2.6,0.3,0.4,0.2,0.3,3.6,0.2,0.2,0.3,0.4,0.3,0.2,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.2,0.3,2.4,0.3,0.4,0.4,0.3,0.4,0.3,2.7,0,0.4,0.3,0.2,0.2,0.3,0.4,0.4,0.2,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0,0.3,3.5,0.4,0.4,0.2,0.3,0.2,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.4,0.2,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0,48.7
0:45,0,0,0.2,3.4,0.3,0.3,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,2.9,0.4,0.3,0.3,0.2,2.5,0.3,0.4,0.2,0.3,3.4,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.2,0.3,2.3,0.3,0.3,0.4,0.3,0.3,0.3,2.6,0,0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.2,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0,0.3,3.3,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.3,0.2,0,0.2,0.3,0.3,0.3,0.3,0.2,0.2,,0,45.4
1:00,0,0,0.2,3.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,2.7,0.3,0.3,0.3,0.2,2.4,0.3,0.3,0.2,0.3,3.3,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,2.2,0.3,0.3,0.3,0.2,0.3,0.3,2.5,0,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0,0.3,3.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0,0.2,0.3,0.3,0.3,0.2,0.2,0.2,,0,42.3
1:15,0,0,0.2,3.1,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.6,0.3,0.3,0.2,0.2,2.3,0.3,0.3,0.2,0.2,3.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,2.2,0.3,0.3,0.3,0.2,0.3,0.3,2.4,0,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,3.1,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0,0.2,0.3,0.2,0.3,0.2,0.2,0.2,,0,40.8
1:30,0,0,0.2,3,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.5,0.3,0.3,0.2,0.2,2.2,0.2,0.3,0.2,0.2,3.1,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2.1,0.3,0.3,0.3,0.2,0.3,0.3,2.3,0,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,,0,39.8
1:45,0,0,0.2,2.9,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.5,0.3,0.2,0.2,0.2,2.2,0.2,0.3,0.2,0.2,3,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2,0.3,0.3,0.3,0.2,0.3,0.3,2.3,0,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,2.9,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,,0,39.2
2:00,0,0,0.2,2.9,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.4,0.3,0.2,0.2,0.2,2.1,0.2,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2,0.3,0.3,0.3,0.2,0.3,0.3,2.2,0,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,2.8,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,,0,38.6
2:15,0,0,0.2,2.8,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.4,0.3,0.2,0.2,0.2,2.1,0.2,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2,0.3,0.3,0.3,0.2,0.3,0.3,2.2,0,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,2.8,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,38.1
2:30,0,0,0.2,2.8,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.4,0.3,0.2,0.2,0.2,2.1,0.2,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2,0.2,0.3,0.3,0.2,0.3,0.2,2.2,0,0.3,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,2.8,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,37.8
2:45,0,0,0.2,2.8,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.4,0.3,0.2,0.2,0.2,2.1,0.2,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2,0.2,0.3,0.3,0.2,0.3,0.2,2.2,0,0.3,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,2.8,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,37.5
3:00,0,0,0.1,2.8,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.4,0.3,0.2,0.2,0.2,2.1,0.2,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.1,0.2,2,0.2,0.3,0.3,0.2,0.3,0.2,2.2,0,0.3,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0,0.2,2.8,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,37.1
3:15,0,0,0.1,2.8,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.4,0.3,0.2,0.2,0.2,2.1,0.2,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.1,0.2,2,0.2,0.2,0.3,0.2,0.2,0.2,2.2,0,0.2,0.2,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0,0.2,2.8,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,36.5
3:30,0,0,0.1,2.9,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.4,0.3,0.2,0.2,0.2,2.1,0.2,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.1,0.2,2,0.2,0.2,0.3,0.2,0.2,0.2,2.2,0,0.2,0.2,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0,0.2,2.8,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,36.6
3:45,0,0,0.1,3,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.5,0.3,0.2,0.2,0.2,2.2,0.2,0.3,0.2,0.2,3,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.1,0.2,2.1,0.2,0.2,0.3,0.2,0.2,0.2,2.3,0,0.2,0.2,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0,0.2,2.9,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,37.3
4:00,0,0,0.1,3.1,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.7,0.3,0.2,0.2,0.2,2.4,0.2,0.3,0.2,0.2,3.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.1,0.2,2.2,0.2,0.2,0.3,0.2,0.3,0.2,2.5,0,0.2,0.2,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0,0.2,3.1,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,38.7
4:15,0,0,0.1,3.3,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,2.8,0.3,0.2,0.2,0.2,2.5,0.2,0.3,0.2,0.2,3.4,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2.3,0.2,0.3,0.3,0.2,0.3,0.2,2.6,0,0.3,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0,0.2,3.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,40.3
4:30,0,0,0.2,3.5,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,3,0.3,0.2,0.2,0.2,2.7,0.2,0.3,0.2,0.2,3.6,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2.5,0.2,0.3,0.3,0.2,0.3,0.2,2.8,0,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,3.5,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0,42.3
4:45,0,0,0.2,3.7,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,3.2,0.3,0.2,0.2,0.2,2.8,0.2,0.3,0.2,0.2,3.8,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2.6,0.3,0.3,0.3,0.2,0.3,0.3,2.9,0,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,3.7,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,,0,43.9
5:00,0,0,0.2,3.8,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,3.2,0.3,0.2,0.2,0.2,2.8,0.2,0.3,0.2,0.2,3.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,2.6,0.3,0.3,0.3,0.2,0.3,0.3,3,0,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,3.7,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,,0,44.5
5:15,0,0,0.2,3.8,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,3.2,0.3,0.3,0.2,0.2,2.8,0.3,0.3,0.2,0.2,3.9,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,2.6,0.3,0.3,0.3,0.2,0.3,0.3,3,0,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,3.7,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0,0.2,0.3,0.2,0.3,0.2,0.2,0.2,,0,44.9
